               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089015,            0.052202,                   0,              0.4828,             0.49421,             0.41309,             0.15417,            0.053993,            0.023366,                   0,            0.070136,           0.0033182,           0.0033182
                   1,            0.068219,            0.048399,                   0,              0.5337,             0.58398,             0.54149,             0.24043,            0.050585,            0.019767,                   0,            0.040005,           0.0065198,           0.0065198
                   2,            0.061749,            0.045004,                   0,             0.57534,             0.73649,             0.63443,             0.34637,            0.042875,            0.017105,                   0,            0.009741,           0.0095894,           0.0095894
                   3,            0.056987,            0.043991,                   0,             0.88525,             0.75212,             0.79016,             0.49064,            0.036923,            0.017512,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.051837,            0.044449,                   0,             0.94082,             0.75197,             0.82133,             0.52364,            0.034813,            0.016249,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.048594,            0.044022,                   0,             0.94728,             0.76641,             0.82682,             0.54497,            0.033882,            0.016055,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.048051,            0.043973,                   0,             0.92949,             0.80159,              0.8485,             0.59432,            0.031501,            0.015829,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.047409,            0.043508,                   0,              0.9592,              0.7973,             0.83537,             0.58324,             0.03113,            0.015494,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.046037,            0.044097,                   0,             0.95652,             0.79344,             0.84569,              0.6072,            0.029639,            0.015466,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.044535,             0.04229,                   0,             0.96909,             0.78669,             0.84679,             0.63841,            0.027949,            0.015265,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.044055,            0.043406,                   0,             0.97011,             0.78313,              0.8518,             0.62314,            0.028687,            0.015295,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.044238,             0.04349,                   0,             0.95709,             0.79652,             0.84572,             0.63021,              0.0284,            0.015111,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.04394,            0.042575,                   0,             0.95616,             0.80019,             0.85618,             0.64101,            0.027006,             0.01472,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.042156,            0.042208,                   0,             0.93523,             0.81467,             0.84993,             0.65115,            0.026817,            0.014816,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.042812,            0.042593,                   0,             0.95826,             0.79783,             0.84938,             0.65231,            0.026837,            0.014644,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.04188,            0.041194,                   0,             0.95088,             0.80348,             0.85332,             0.64204,            0.027146,            0.015007,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.042661,            0.043088,                   0,             0.96502,             0.79885,             0.85422,             0.65766,            0.026091,            0.014864,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.040294,            0.041704,                   0,             0.96171,             0.80405,             0.84539,              0.6568,            0.026235,            0.014624,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.040906,            0.038879,                   0,             0.97547,             0.80621,             0.85158,             0.65757,            0.025591,            0.014912,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.040335,            0.040039,                   0,             0.97818,             0.80598,             0.85048,             0.66074,            0.026202,            0.014171,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.040874,            0.041808,                   0,             0.96972,             0.80382,             0.85565,             0.64947,             0.02634,            0.014505,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.039104,            0.040623,                   0,             0.96295,             0.80309,             0.85315,             0.66611,            0.025912,            0.014705,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.039837,            0.040609,                   0,             0.94928,             0.81298,             0.85346,             0.66929,            0.026556,            0.014515,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.03911,            0.039779,                   0,             0.96002,             0.81128,             0.85446,             0.65436,             0.02638,            0.014304,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.039409,            0.039715,                   0,             0.96748,             0.80408,             0.85024,             0.67112,            0.025779,            0.016037,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.040068,             0.03997,                   0,             0.95204,             0.82396,               0.856,             0.67607,            0.025561,            0.014194,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.039533,            0.039669,                   0,             0.96135,             0.79826,             0.84919,             0.66567,            0.025992,              0.0142,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.03951,             0.03957,                   0,             0.95903,              0.8134,             0.85775,             0.67937,            0.025439,            0.014626,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.037944,            0.041459,                   0,              0.9691,             0.81741,             0.85099,             0.67468,             0.02543,            0.015371,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.038248,            0.038901,                   0,             0.96319,             0.80819,             0.85196,             0.67905,            0.025236,            0.014507,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.03827,              0.0399,                   0,             0.97531,             0.80087,              0.8523,             0.67803,            0.025247,            0.014078,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.038028,            0.037992,                   0,             0.97344,              0.8136,               0.852,             0.67565,            0.024995,            0.013958,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.037951,            0.038931,                   0,             0.96042,             0.81274,             0.85395,             0.68116,            0.025108,            0.014294,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.037217,            0.038554,                   0,             0.96484,             0.81467,              0.8552,             0.68591,            0.025135,            0.014646,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.037348,            0.039191,                   0,             0.96111,             0.81104,             0.84939,             0.68351,            0.025397,             0.01483,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.037538,            0.039681,                   0,             0.97314,             0.80424,             0.84785,             0.67963,            0.025178,            0.015573,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.037163,            0.037822,                   0,             0.98326,             0.80888,             0.84927,             0.68895,            0.024863,            0.015027,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.036901,            0.038973,                   0,             0.97565,             0.81215,             0.85263,             0.68112,            0.025493,            0.014492,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.036811,            0.037162,                   0,              0.9721,             0.81274,             0.85459,             0.68525,             0.02485,            0.013914,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.036694,            0.038092,                   0,             0.97932,             0.81371,             0.85168,             0.68487,            0.025041,            0.014082,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.035698,             0.03828,                   0,             0.96265,             0.82103,             0.84652,             0.68101,            0.025283,            0.014989,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.035705,            0.037866,                   0,             0.97464,             0.81604,             0.84921,             0.68976,             0.02509,               0.015,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.035172,            0.038721,                   0,             0.97794,              0.8166,             0.85161,             0.68405,            0.025086,            0.014517,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.036019,            0.037964,                   0,             0.98015,             0.81008,             0.84666,              0.6792,            0.025108,            0.014608,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.034834,            0.036749,                   0,             0.97643,             0.81274,             0.84652,              0.6878,            0.025102,            0.014501,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.035141,            0.036292,                   0,             0.98018,             0.81155,             0.84913,             0.68985,            0.024876,            0.014445,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.03577,            0.037214,                   0,             0.98477,             0.81133,             0.84773,             0.68671,            0.024938,            0.014964,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.035668,            0.037552,                   0,             0.97907,             0.81274,             0.84697,             0.68704,            0.024765,            0.014729,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.03598,            0.037229,                   0,             0.98138,             0.81379,             0.84845,              0.6895,            0.024866,            0.014766,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.035137,            0.037536,                   0,             0.98302,             0.81274,             0.84927,             0.69019,            0.025091,             0.01475,                   0,            0.000496,            0.000496,            0.000496
